                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   2.22,                 2.5546,                 1.8605,                0.48313,                0.47059,                0.48333,                0.25098,                 1.7389,                 3.3952,                 1.6346,                 0.0784,                 0.0024,                 0.0024
                      1,                 1.8982,                 1.4811,                 1.6698,                0.55213,                0.76471,                0.68187,                0.30884,                 1.9104,                 2.4136,                 1.6816,               0.055706,               0.004706,               0.004706
                      2,                 1.6837,                 1.3403,                 1.5432,                0.78399,                0.88235,                0.86905,                0.48377,                 1.7347,                  1.123,                 1.4576,               0.032814,              0.0068139,              0.0068139
                      3,                 1.6085,                 1.2656,                 1.4559,                0.72727,                0.58824,                0.63738,                0.30966,                 1.8203,                 1.5986,                 1.5259,              0.0097239,              0.0087239,              0.0087239
                      4,                 1.6508,                 1.2353,                 1.4549,                 0.8597,                0.82353,                0.80185,                0.36447,                  1.924,                    1.2,                 1.6606,               0.008416,               0.008416,               0.008416
                      5,                 1.5806,                 1.1915,                 1.4001,                0.91141,                0.82353,                 0.8913,                0.43056,                  1.786,                0.96672,                 1.6631,               0.008416,               0.008416,               0.008416
                      6,                 1.5694,                 1.1813,                 1.4026,                0.83095,                0.76471,                0.81403,                0.35698,                 1.9096,                 1.4224,                 1.7426,                0.00802,                0.00802,                0.00802
                      7,                 1.5553,                 1.1366,                 1.3821,                0.83232,                0.88235,                0.87857,                 0.4119,                 1.9569,                  1.492,                 1.6495,               0.007624,               0.007624,               0.007624
                      8,                   1.52,                 1.0668,                 1.3595,                0.93654,                0.86886,                0.90995,                0.42137,                 1.9357,                 1.2087,                 1.7307,               0.007228,               0.007228,               0.007228
                      9,                 1.4918,                   1.03,                 1.3391,                0.90538,                0.76471,                0.83294,                0.40056,                 1.9267,                 1.0364,                 1.6376,               0.006832,               0.006832,               0.006832
                     10,                  1.499,                 1.0462,                 1.3527,                0.88224,                0.88143,                0.88756,                0.43802,                 1.8714,                 1.1538,                 1.6903,               0.006436,               0.006436,               0.006436
                     11,                 1.4643,                 1.0408,                 1.3443,                0.87438,                0.76471,                0.86414,                0.40578,                 1.8696,                0.94057,                 1.8195,                0.00604,                0.00604,                0.00604
                     12,                 1.4848,                 1.0234,                 1.3566,                0.86944,                0.82353,                0.84697,                0.40392,                 1.8308,                0.92849,                 1.6944,               0.005644,               0.005644,               0.005644
                     13,                  1.431,                0.96245,                 1.3182,                0.96361,                0.88235,                0.90812,                0.50951,                 1.6531,                0.81109,                 1.5176,               0.005248,               0.005248,               0.005248
                     14,                 1.4154,                0.94572,                 1.3077,                0.93326,                0.82258,                0.87896,                0.40791,                 1.9577,                0.87365,                 1.6968,               0.004852,               0.004852,               0.004852
                     15,                 1.2611,                0.74689,                 1.2452,                0.93073,                0.79136,                 0.8871,                0.35256,                 2.1987,                 1.0311,                 1.7507,               0.004456,               0.004456,               0.004456
                     16,                 1.2224,                0.67519,                 1.2165,                0.88048,                0.88235,                0.88761,                0.36842,                 1.9929,                0.91877,                  1.767,                0.00406,                0.00406,                0.00406
                     17,                 1.1488,                0.64116,                 1.2145,                0.86595,                0.82353,                0.87119,                0.40591,                 1.9217,                0.93827,                 1.7449,               0.003664,               0.003664,               0.003664
                     18,                 1.1926,                 0.6352,                 1.1848,                0.93282,                0.81716,                0.83392,                0.46257,                 1.7729,                 0.8475,                 1.6822,               0.003268,               0.003268,               0.003268
                     19,                 1.0628,                0.55368,                 1.1517,                0.89888,                0.82353,                0.83254,                0.40534,                 1.9142,                0.83896,                  1.743,               0.002872,               0.002872,               0.002872
                     20,                 1.0355,                0.55441,                 1.1304,                0.91032,                0.82353,                0.84986,                0.40843,                 1.8999,                0.85783,                 1.7488,               0.002476,               0.002476,               0.002476
                     21,                 1.0207,                0.52145,                 1.1088,                 0.8641,                0.82353,                0.86983,                0.41505,                 1.9535,                0.92256,                 1.7717,                0.00208,                0.00208,                0.00208
                     22,                0.96331,                0.51662,                 1.0853,                0.86849,                0.82353,                0.87048,                0.42413,                 1.8753,                0.81185,                 1.7694,               0.001684,               0.001684,               0.001684
                     23,                0.93519,                 0.4741,                 1.0736,                0.82103,                0.82353,                 0.8781,                0.47451,                 1.7794,                 0.8191,                 1.6008,               0.001288,               0.001288,               0.001288
                     24,                0.87768,                0.45168,                 1.0607,                0.82029,                0.82353,                0.82018,                0.43995,                 1.7948,                0.84516,                 1.6661,               0.000892,               0.000892,               0.000892
